sales_contribution_segment,customers,total_sales,avg_sales_per_customer,avg_purchase_count,avg_coupon_basket_rate,sales_share
Top 20% customers,500,4274188.25,8548.3765,243.224,0.08961553176757822,0.5304632745521684
Middle 60% customers,1500,3584057.91,2389.37194,94.86466666666666,0.055562339386652025,0.44481220384319775
Bottom 20% customers,500,199216.92,398.43384000000003,25.15,0.032315484223205994,0.0247245216046339
