department,commodity_desc,total_sales,baskets,customers,units,coupon_line_rate,avg_sales_per_line,sales_share
SPIRITS,LIQUOR,21670.88,1922,563,2290,0.0,10.226937234544597,0.0026895413338958794
DRUG GM,PREPAID WIRELESS&ACCESSORIES,21644.47,1052,302,1213,0.0,19.41208071748879,0.0026862636272855255
GROCERY,FRZN POTATOES,21579.3,8114,1515,11297,0.013662911973299958,2.250657071339174,0.002678175473563572
GROCERY,IMPORTED WINE,21498.68,1729,376,2398,0.0,10.174481779460482,0.0026681698428582807
MEAT,TURKEY,21258.670000000002,2799,972,3858,0.004383007417397168,7.167454484153743,0.002638382551546237
DRUG GM,HAND/BODY/FACIAL PRODUCTS,20891.14,2856,923,3624,0.04242952630049404,6.0712409183376925,0.0025927689388804496
GROCERY,FROZEN PIE/DESSERTS,20835.32,6436,1502,9634,0.02512627897940681,2.698526097655744,0.0025858412000319088
GROCERY,LAUNDRY ADDITIVES,20265.74,4455,1208,5180,0.04639485840530227,4.070243020686886,0.0025151514563315877
DRUG GM,FEMININE HYGIENE,20060.81,4305,1178,5494,0.029804528740081285,3.8824869363266887,0.0024897178926943345
SEAFOOD,SEAFOOD-FRESH,19838.78,2699,703,3335,0.0,6.604121171770972,0.002462162072978434
FLORAL,FLORAL-FRESH CUT,19784.57,2220,821,3112,0.0036930652441526466,8.118411981945014,0.002455434148883497
DRUG GM,VITAMINS,19737.03,2001,731,3024,0.04905193734542457,8.135626545754327,0.0024495340287677744
PASTRY,BREAKFAST SWEETS,19664.37,8194,1565,14693,0.00033994334277620395,2.228257223796034,0.002440516302061666
GROCERY,FROZEN BREAD/DOUGH,19355.170000000002,7195,1510,9422,0.06509100101112235,2.4463056117290196,0.002402141940686373
PRODUCE,VALUE ADDED FRUIT,19009.01,5858,1296,7365,0.0023446658851113715,2.785611078546307,0.002359180527576181
GROCERY,DISHWASH DETERGENTS,18891.59,6234,1501,7233,0.07447421492365312,2.721346874099683,0.002344607702502808
GROCERY,FACIAL TISS/DNR NAPKIN,18828.93,6857,1352,10426,0.028205128205128206,2.4139653846153846,0.0023368310612228087
DRUG GM,STATIONERY & SCHOOL SUPPLIES,18305.260000000002,4669,1334,9068,0.0010198135198135198,2.6668502331002335,0.0022718391407137543
GROCERY,BEANS - CANNED GLASS & MW,18005.33,9501,1714,21277,0.0029802658074909384,1.450288360853806,0.002234615265528465
GROCERY,AIR CARE,17699.31,3825,1119,6861,0.08873290136789057,3.1856209503239743,0.0021966355693186744
PASTRY,BREAD,17484.420000000002,7872,1329,10195,0.00011502185415228893,2.011090407177364,0.0021699658845970166
GROCERY,SNACK NUTS,17325.82,4685,1183,6336,0.006348020911127707,3.2348431665421957,0.0021502822697389264
GROCERY,HOT CEREAL,17172.94,5607,1440,7193,0.019507663725034836,2.658761418176188,0.0021313085557445703
PRODUCE,ORGANICS FRUIT & VEGETABLES,17053.87,5295,1239,7085,0.0006205398696866273,2.6456515668631706,0.00211653095157589
GROCERY,CAT LITTER,17048.3,2952,542,3672,0.0488997555012225,5.210360635696821,0.0021158396669935468
GROCERY,BUTTER,16887.94,4952,983,6183,0.017839829358153966,3.2747605196819856,0.002095937621100462
PRODUCE,STONE FRUIT,16629.0,5523,1319,6652,0.0,2.509658919408391,0.002063800955076793
GROCERY,PWDR/CRYSTL DRNK MX,16366.2,5326,1268,31107,0.0010961156402000411,1.1212029869151197,0.0020311852300786467
DRUG GM,DIETARY AID PRODUCTS,16339.93,1790,495,3457,0.008319467554076539,6.796975873544094,0.002027924898664258
PRODUCE,PEPPERS-ALL,16150.66,8257,1500,13593,0.0,1.6317094362497475,0.0020044348748042913
DRUG GM,DEODORANTS,15897.12,4259,1298,5660,0.049458128078817734,3.1324374384236453,0.0019729683949107216
PRODUCE,CARROTS,15866.42,8408,1575,9250,0.0005874750323111268,1.8642251204323816,0.0019691582626525667
GROCERY,WAREHOUSE SNACKS,15848.49,6554,1528,10633,0.014806629834254143,1.751214364640884,0.001966932996483553
DRUG GM,BABY HBC,15706.91,3986,1016,5125,0.04798962386511025,3.3953545179420663,0.0019493617090207008
DRUG GM,BOOKSTORE,15683.83,1511,639,1934,0.0010666666666666667,8.364709333333334,0.001946497283857241
PRODUCE,PROCESSED,15597.79,4696,1280,5851,0.013187641296156745,2.9385437076111534,0.0019358189848509987
GROCERY,PICKLE/RELISH/PKLD VEG,15569.83,6166,1535,7611,0.04624522698345354,2.201927591571206,0.0019323489099995976
PASTRY,COOKIES,15203.03,3702,1229,5614,0.0010412328196584756,3.1659787588504793,0.0018868258965699164
DRUG GM,SPRING/SUMMER SEASONAL,15043.96,1929,972,2677,0.0,7.033174380551659,0.0018670839506967991
PRODUCE,MELONS,14194.82,4351,1179,5380,0.0,3.0169649309245483,0.0017616984228241725
PRODUCE,VEGETABLES SALAD,14032.88,10747,1633,12468,0.0,1.2279383969198459,0.001741600285433762
DRUG GM,AUDIO/VIDEO PRODUCTS,13669.859999999999,919,518,1065,0.005591798695246971,12.739850885368126,0.00169654640229515
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,13504.34,4514,1373,5882,0.020393165533713026,2.481047216608488,0.0016760039563221926
DRUG GM,BATTERIES,13169.63,2260,997,2943,0.05397070161912105,5.076958365458751,0.0016344635860248956
PASTRY,PIES,12894.57,2787,892,3116,0.0,4.268311817279047,0.0016003262902943391
GROCERY,PET CARE SUPPLIES,12886.64,2515,751,3494,0.004130918334922148,4.094896727041626,0.0015993421095514345
GROCERY,DRY SAUCES/GRAVY,12742.94,6491,1385,13609,0.005970512976727184,1.5526916047276715,0.0015815077119782472
PRODUCE,POPCORN,12526.65,3934,1189,5440,0.03820524211461573,2.78246334962239,0.0015546642752969338
DRUG GM,SINUS AND ALLERGY,12359.57,1685,701,1893,0.013023782559456399,6.9986240090600225,0.0015339282199975032
DRUG GM,FIRST AID PRODUCTS,11949.07,2647,1075,3449,0.010223048327137546,3.7016945477075587,0.0014829816632557253
PRODUCE,MUSHROOMS,11874.02,4742,905,5583,0.0,2.3929907295445387,0.0014736673171327768
GROCERY,DRY MIX DESSERTS,11791.03,5452,1438,13810,0.011385401149180676,1.2546318365609705,0.0014633675491814975
DRUG GM,CHARCOAL AND LIGHTER FLUID,11693.630000000001,1988,747,2632,0.006944444444444444,5.075360243055556,0.0014512793771311952
GROCERY,TEAS,11625.35,3498,1109,4328,0.027833001988071572,2.8890034791252486,0.0014428052458417221
DRUG GM,ANTACIDS,11508.76,1753,722,2205,0.008999470619375331,6.092514557967179,0.0014283354308587163
DRUG GM,CHRISTMAS  SEASONAL,11112.27,1916,883,4485,0.0,3.8464070612668744,0.0013791276347989174
DRUG GM,TOYS AND GAMES,10878.62,1936,774,2939,0.0,4.570848739495799,0.0013501296738178787
NUTRITION,FROZEN,10721.33,1546,324,3417,0.0025519504192489974,3.9086146554866934,0.0013306086411506088
MISC. TRANS.,NO COMMODITY DESCRIPTION,10678.69,2255,935,3520,0.0008507018290089324,4.5421905572096986,0.0013253166528936799
DRUG GM,ELECTRICAL SUPPPLIES,10534.93,2655,1063,4076,0.008567931456548347,3.2236627906976745,0.0013074748088079356
PASTRY,ROLLS,10401.59,5105,1231,8137,0.004163649529326575,1.8829815351194787,0.001290926175736197
DRUG GM,BROOMS AND MOPS,10249.79,3047,1095,3998,0.013710128707330722,2.867876329043089,0.0012720864989678613
PRODUCE,BROCCOLI/CAULIFLOWER,10011.03,4498,998,5758,0.0,1.9954215666733108,0.0012424543433340808
GROCERY,COCOA MIXES,9778.94,3826,1208,4918,0.015081206496519721,2.268895591647332,0.0012136499916795152
GROCERY,BLEACH,9671.29,3553,1167,4145,0.017787078210829192,2.529764582788386,0.0012002897070674508
NUTRITION,DRIED FRUIT,9548.08,3001,890,3893,0.009313154831199068,2.7788358556461,0.0011849982935323608
GROCERY,MISC WINE,9453.74,1293,593,1605,0.0,6.560541290770298,0.0011732898936224476
SEAFOOD,SEAFOOD - FROZEN,9439.76,993,406,1188,0.0,8.930709555345317,0.0011715548561967472
NUTRITION,FITNESS&DIET,9335.2,1651,363,5941,0.003964321110009911,3.0839775355137102,0.0011585780669813508
PRODUCE,NUTS,9030.48,1843,640,2232,0.012487512487512488,4.5107292707292705,0.0011207597118769546
DRUG GM,LAXATIVES,8913.64,1383,498,1840,0.004726536124240378,6.018663065496286,0.0011062588697582961
DRUG GM,PLASTIC HOUSEWARES,8512.03,2197,1007,3547,0.01732768579129765,3.2776395841355415,0.0010564156379603293
DRUG GM,TICKETS,8243.08,709,324,875,0.0,11.528783216783216,0.0010230366454251256
DRUG GM,IN-STORE PHOTOFINISHING,8052.64,725,312,1213,0.0,8.937447280799113,0.000999401414570304
PRODUCE,VALUE ADDED VEGETABLES,7664.37,2101,698,2770,0.00043346337234503684,3.32222366710013,0.0009512137907307668
FLORAL,ROSES,7425.27,505,322,576,0.0,14.362224371373308,0.0009215394381924988
DRUG GM,EYE AND EAR CARE PRODUCTS,7417.76,1110,510,1263,0.009038619556285949,6.095119145439606,0.0009206073830374908
DRUG GM,KITCHEN GADGETS,7297.43,1925,1017,2619,0.0,3.2318113374667847,0.0009056734021051202
DRUG GM,FILM AND CAMERA PRODUCTS,7216.8,1002,574,1229,0.031805425631431246,6.7509822263797945,0.0008956665303144027
GARDEN CENTER,GARDEN CENTER,7164.66,512,282,1211,0.0,11.108,0.0008891955109026698
NUTRITION,CEREAL/BREAKFAST,7022.84,1464,330,2081,0.012605042016806723,3.688466386554622,0.0008715944373895909
DRUG GM,COOKWARE & BAKEWARE,6707.57,1034,654,1393,0.014705882352941176,5.802396193771626,0.0008324667371606498
DELI,PARTY TRAYS,6698.49,404,259,479,0.004338394793926247,14.530347071583513,0.0008313398315937427
GROCERY,FRZN ICE,6576.25,2407,871,2911,0.0,2.6635277440259215,0.0008161688033449853
DRUG GM,INFANT CARE PRODUCTS,6389.78,1144,448,1522,0.013231197771587743,4.449707520891365,0.0007930262834043293
MEAT-PCKGD,MISCELLANEOUS,5976.6900000000005,2207,828,2631,0.00904392764857881,2.5739405684754524,0.0007417582855371893
DRUG GM,CANDLES/ACCESSORIES,5926.88,1207,610,2405,0.0006060606060606061,3.592048484848485,0.0007355764390297399
DRUG GM,NEWSPAPER,5911.7,4817,802,5436,0.0,1.0986247909310536,0.0007336924713529062
GROCERY,OLIVES,5888.06,2647,814,3460,0.0,2.011636487871541,0.0007307585454055845
NUTRITION,CHIPS&SNACKS,5840.83,1694,470,2189,0.0020100502512562816,2.9350904522613064,0.0007248968989380712
GROCERY,FRZN FRUITS,5726.35,1100,406,1811,0.0,4.055488668555241,0.0007106889529799745
GROCERY,FRZN JCE CONC/DRNKS,5724.51,1898,531,5026,0.001422475106685633,2.0357432432432434,0.0007104605932615704
GROCERY,FLOUR & MEALS,5723.6,3137,1164,3535,0.007473841554559043,1.7110911808669658,0.0007103476544877944
SEAFOOD-PCKGD,FROZEN - BOXED(GROCERY),5653.2,893,460,1171,0.02368692070030896,5.822039134912461,0.0007016104130879864
PRODUCE,CORN,5435.38,2754,923,13874,0.0,1.9586954954954956,0.0006745770903364785
PASTRY,SWEET GOODS & SNACKS,5300.05,1613,655,2008,0.0,3.0653846153846156,0.0006577814812649443
DRUG GM,HARDWARE SUPPLIES,5207.57,1190,652,1670,0.0,3.829095588235294,0.0006463039232442874
DELI,SUSHI,5162.85,630,126,911,0.0,6.052579132473623,0.0006407537892187277
DRUG GM,ADULT INCONTINENCE,4995.97,509,136,638,0.05063291139240506,9.034303797468356,0.0006200425556278193
DRUG GM,FAMILY PLANNING,4853.49,562,335,595,0.0016891891891891893,8.198462837837837,0.000602359570476617
PRODUCE,HERBS,4668.7300000000005,3290,832,3836,0.0,1.2594362017804155,0.0005794292761438257
DELI,SANDWICHES,4665.25,898,308,1327,0.0,4.485817307692308,0.0005789973784155397
GROCERY,COUPON/MISC ITEMS,4564.33,1371,832,1760,0.0,3.278972701149425,0.0005664723442952469
COSMETICS,BATH,4532.35,1054,547,1403,0.008333333333333333,3.4335984848484853,0.00056250335310255
PRODUCE,PEARS,4519.17,1991,606,2045,0.0,2.1980398832684824,0.0005608676025109382
DRUG GM,COFFEE FILTERS,4502.8,1647,725,1773,0.0029779630732578916,2.6818344252531268,0.0005588359456683977
SEAFOOD-PCKGD,SEAFOOD-FRESH,4496.78,1078,401,1540,0.0,3.7473166666666664,0.00055808881224188
FLORAL,FLORAL-FLOWERING PLANTS,4490.84,489,343,600,0.0,8.892752475247525,0.0005573516074987712
DRUG GM,HAIR CARE ACCESSORIES,4345.320000000001,1199,640,1570,0.0,2.9085140562249,0.0005392913323780319
GROCERY,FROZEN CHICKEN,4201.64,466,264,606,0.006048387096774193,8.471048387096776,0.0005214594169756965
DELI,SNACKS,4178.150000000001,1270,458,1641,0.004189944134078212,2.9177025139664807,0.0005185441073097663
DRUG GM,DOMESTIC GOODS,3988.52,753,480,1270,0.0011627906976744186,4.637813953488372,0.0004950094043744597
NUTRITION,WATER,3904.39,1425,453,3672,0.0,1.6990382941688424,0.000484568152684604
NUTRITION,JUICE,3854.33,931,325,1514,0.0354295837023915,3.4139326837909656,0.00047835527904150195
DRUG GM,HALLOWEEN,3847.39,634,404,1110,0.0,4.223260153677278,0.00047749396575578226
DRUG GM,FOOT CARE PRODUCTS,3828.9,524,317,636,0.008771929824561403,6.717368421052631,0.0004751991988029066
GROCERY,CANNED MILK,3783.82,1815,750,3243,0.0035971223021582736,1.944409044193217,0.00046960438570200683
DRUG GM,HOSIERY/SOCKS,3755.53,751,367,1111,0.018458197611292075,4.077665580890336,0.00046609335503154425
DRUG GM,AUTOMOTIVE PRODUCTS,3716.85,926,564,1259,0.0028089887640449437,3.480196629213483,0.0004612928366033543
NUTRITION,SNKS/CKYS/CRKR/CNDY,3702.1800000000003,954,321,2222,0.011695906432748537,2.4055750487329437,0.0004594721642832523
NUTRITION,RICE CAKES,3610.61,1248,445,1908,0.0036991368680641184,2.226023427866831,0.00044810754503637145
DRUG GM,DISPOSIBLE FOILWARE,3574.7000000000003,1012,590,1305,0.0,3.232097649186257,0.0004436508072712137
DRUG GM,APPAREL,3551.72,458,306,635,0.00196078431372549,6.964156862745098,0.000440798792962015
DRUG GM,TOBACCO OTHER,3547.93,931,425,1128,0.005274261603375527,3.742542194092827,0.00044032842158551967
DRUG GM,INSECTICIDES,3482.69,680,446,931,0.029487179487179487,4.46498717948718,0.00043223158026558405
PRODUCE,SQUASH,3374.94,2054,545,2417,0.0,1.4270359408033826,0.0004188588847992587
DRUG GM,IRONING AND CHEMICALS,3346.0099999999998,401,290,531,0.0,6.856577868852458,0.00041526842466152507
DRUG GM,LAWN AND GARDEN SHOP,3187.55,301,189,560,0.0,9.688601823708208,0.0003956021849994006
DRUG GM,J-HOOKS,3167.2200000000003,914,544,1021,0.0,3.3060751565762008,0.0003930790583281208
DRUG GM,SMOKING CESSATIONS,3030.67,79,28,81,0.0,38.36291139240507,0.0003761320368346013
DRUG GM,SUNTAN,3025.9900000000002,368,283,451,0.0228310502283105,6.90865296803653,0.0003755512088551823
NUTRITION,PREPARED/PKGD FOODS,2862.35,672,194,1312,0.002014098690835851,2.882527693856999,0.0003552420869423332
FLORAL,FLORAL-FOLIAGE PLANTS,2769.45,266,189,336,0.0,9.751584507042253,0.0003437124033337798
GROCERY,SYRUPS/TOPPINGS,2707.93,1064,575,1411,0.02092675635276532,2.0238639760837067,0.00033607724579235674
TRAVEL & LEISUR,APPLES,2537.26,845,478,940,0.0,2.9745134818288395,0.0003148956408249531
COSMETICS,FRAGRANCES,2535.61,112,93,114,0.00847457627118644,21.48822033898305,0.00031469086172964506
SEAFOOD-PCKGD,SEAFOOD - MISC,2354.7400000000002,1133,575,1325,0.003286770747740345,1.9348726376335252,0.0002922433496276101
CHEF SHOPPE,UNKNOWN,2290.8,749,382,875,0.0,2.990600522193212,0.0002843078494130686
DRUG GM,PERSONAL CARE APPLIANCES,2234.34,164,138,171,0.0,12.915260115606937,0.00027730068109725674
