department,commodity_desc,total_sales,baskets,customers,units,coupon_line_rate,avg_sales_per_line,sales_share
SEAFOOD,MEAT SUPPLIES,201.95000000000002,28,26,28,0.0,7.2125,2.506372018027292e-05
DRUG GM,COUPON/MISC ITEMS,185.2,13,12,17,0.0,14.246153846153845,2.2984902091540205e-05
RX,PHARMACY,147.56,13,13,14,0.0,11.350769230769231,1.831345654766562e-05
GROCERY,RESTRICTED DIET,131.05,38,26,59,0.0,2.569607843137255,1.6264424509159526e-05
DRUG GM,HOME HEALTH CARE,126.07,9,8,9,0.0,14.007777777777777,1.5646363966957202e-05
GROCERY,BOTTLE DEPOSITS,116.6,81,18,190,0.0,1.2273684210526314,1.4471056068431901e-05
GM MERCH EXP,COUPON/MISC ITEMS,92.06,47,31,51,0.0,1.9587234042553192,1.1425432432760214e-05
DRUG GM,MISCELLANEOUS HBC,87.4,28,22,31,0.0,3.1214285714285714,1.0847086624193381e-05
FLORAL,BOUQUET (NON ROSE),80.9,10,10,10,0.0,8.09,1.0040381097222478e-05
SALAD BAR,PROD SUPPLIES,74.47,18,18,12,0.0,4.137222222222222,9.242363168234337e-06
MEAT,MEAT SUPPLIES,71.64,16,10,25,0.0,4.4775,8.891135992645467e-06
DAIRY DELI,EGGS,67.45,52,49,75,0.0,1.2971153846153847,8.371121199105761e-06
MEAT,RW FRESH PROCESSED MEAT,58.77,27,17,34,0.0,2.0989285714285715,7.293859049243078e-06
CNTRL/STORE SUP,COUPON/MISC ITEMS,49.05,21,20,22,0.0,2.3357142857142854,6.087524015065049e-06
PRODUCE,DRIED FRUIT,48.66,23,22,27,0.0,1.8715384615384614,6.039121683446795e-06
MEAT,MEAT - MISC,42.68,11,8,17,0.0,3.88,5.296952598633564e-06
PHOTO,REFRGRATD DOUGH PRODUCTS,41.400000000000006,17,17,19,0.17647058823529413,2.435294117647059,5.138093664091602e-06
NUTRITION,BULK FOODS,41.02,9,8,8,0.0,4.557777777777778,5.090932417899457e-06
NUTRITION,ORGANICS FRUIT & VEGETABLES,40.39,14,12,14,0.0,2.8850000000000002,5.012744036054584e-06
DELI/SNACK BAR,DELI SUPPLIES,36.08,11,10,12,0.0,3.28,4.477836217401569e-06
DRUG GM,FD WRAPS/BAGS/TRSH BG,36.03,9,9,11,0.0,4.003333333333334,4.471630790271024e-06
VIDEO,BEERS/ALES,34.769999999999996,3,3,3,0.0,11.589999999999998,4.315254026581279e-06
FLORAL,EASTER LILY,31.98,1,1,2,0.0,31.98,3.968991192696845e-06
DRUG GM,FRAGRANCES,29.99,1,1,1,0.0,29.99,3.722015192901138e-06
PRODUCE,SALAD BAR,28.25,5,4,6,0.0,5.65,3.506066328758158e-06
SEAFOOD-PCKGD,PKG.SEAFOOD MISC,27.92,6,2,8,0.0,4.653333333333333,3.4651105096965584e-06
PRODUCE,PROD SUPPLIES,23.69,14,5,14,0.0,1.6921428571428572,2.9401313744524165e-06
VIDEO RENTAL,UNKNOWN,21.46,4,3,11,0.0,4.292,2.663369324430091e-06
POSTAL CENTER,CANDY - PACKAGED,17.41,7,7,8,0.0,2.487142857142857,2.1607297268559128e-06
PHARMACY SUPPLY,COUPON/MISC ITEMS,16.92,6,4,8,0.0,2.8200000000000003,2.099916540976568e-06
SEAFOOD,SEAFOOD - MISC,16.43,4,3,4,0.0,4.1075,2.0391033550972225e-06
PORK,PORK,15.7,2,2,2,0.0,7.85,1.9485041189912593e-06
MEAT-PCKGD,FROZEN PACKAGE MEAT,12.99,1,1,1,0.0,12.99,1.6121699685156981e-06
RX,COUPON/MISC ITEMS,12.0,1,1,1,0.0,12.0,1.489302511330899e-06
NUTRITION,NDAIRY/TEAS/JUICE/SOD,11.780000000000001,2,2,4,0.0,5.890000000000001,1.4619986319564992e-06
TOYS,TOYS,9.84,5,4,6,0.0,1.968,1.221228059291337e-06
