coupon_redeemer_group,customers,total_sales,avg_sales_per_customer,avg_purchase_count,avg_basket_value,avg_coupon_basket_rate,customer_share,sales_share
coupon redeemer,434,2871051.5100000002,6615.326059907835,193.11981566820276,39.79091072616636,0.13219565061339095,0.1736,0.3563220186669475
non-redeemer,2066,5186411.57,2510.363780251694,93.25750242013552,29.904470886362322,0.04207943112737583,0.8264,0.6436779813330525
