repurchase_group,customers,total_sales,avg_purchase_count,avg_basket_value,customer_share,sales_share
1 basket,3,67.19,1.0,22.396666666666665,0.0012,8.338852978026924e-06
2+ baskets,2497,8057395.89,110.72527032438927,31.6318390494116,0.9988,0.9999916611470219
