seller_id,total_orders,error_orders,error_rate
b2479f944e1b90cf8a5de1bbfde284d6,103,15,14.56
3df020b72d3d44b3af9d110fa3940b65,55,8,14.55
f5a590cf36251cf1162ea35bef76fe84,117,17,14.53
75d34ebb1bd0bd7dde40dd507b8169c3,62,9,14.52
fd386aa7bed2af3c7035c65506c9b4a3,69,10,14.49
b499c00f28f4b7069ff6550af8c1348a,152,22,14.47
b33e7c55446eabf8fe1a42d037ac7d6d,152,22,14.47
855668e0971d4dfd7bef1b6a4133b41b,312,45,14.42
dfa0c4c6229ab200a4a1336b4d7128ff,77,11,14.29
23613d49c3ac2bd302259e55c06c050c,70,10,14.29
50c9975695009e5e6473912e83a6d1da,50,7,14.0
0ed6ce5d87fd9c69eaacaeb778d67235,43,6,13.95
1da366cade6d8276e7d8beea7af5d4bf,43,6,13.95
3ab971ce71839580d2ae5b4e40fe8044,36,5,13.89
b1a81260566c1bac3114a6d124413f27,51,7,13.73
048c2757535328e0d7dac690ad3c0aae,51,7,13.73
02f623a8eb246f3c5f7c2f96462654e6,44,6,13.64
900ba814c251a692506d7834c1218441,88,12,13.64
643214e62b870443ccbe55ab29a4dccf,66,9,13.64
7d13fca15225358621be4086e1eb0964,565,77,13.63
a416b6a846a11724393025641d4edd5e,162,22,13.58
729f06993dac8e860d4f02d7088ca48a,96,13,13.54
14d7985702e72162bbf13b6beb74ab2b,37,5,13.51
2ff97219cb8622eaf3cd89b7d9c09824,89,12,13.48
6fd52c528dcb38be2eea044946b811f8,67,9,13.43
e38db885400cd35c71dfd162f2c1dbcf,30,4,13.33
c8467937e403e76a8ee9f0ab13f6f5ef,30,4,13.33
3ade81dab5a172b88e1871c28ae05260,30,4,13.33
6e386f64c84e482f0b9abf960797ee1b,30,4,13.33
406822777a0b9eb5c50e442dd4cd3ec5,45,6,13.33
8b28d096634035667e8263d57ba3368c,143,19,13.29
aba1721a889e04decc910aa13b768ef4,83,11,13.25
0176f73cc1195f367f7b32db1e5b3aa8,38,5,13.16
e2aee0892199b1d92530e371abd825bf,38,5,13.16
77530e9772f57a62c906e1c21538ab82,320,42,13.12
ea8482cd71df3c1969d7b9473ff13abc,1146,150,13.09
3bb548e3cb7f70f28e3f11ee9dce0e59,46,6,13.04
715bbd5ba4e6b74cb0d2f29eb45058b0,62,8,12.9
e8b4225284fbb02d16f200513f1f395d,31,4,12.9
b74d1c09cb380e1d03a6f859c6f4224b,31,4,12.9
78c99c6dff4eeae5be99bf635ed21e3f,31,4,12.9
e62b2d6ac10570a035a30bafcf01d263,62,8,12.9
06579cb253ecd5a3a12a9e6eb6bf8f47,62,8,12.9
2eb70248d66e0e3ef83659f71b244378,202,26,12.87
0cbcee27c791afa0cdcb08587a2013a8,39,5,12.82
8d956fec2e4337affcb520f56fd8cbfd,211,27,12.8
04308b1ee57b6625f47df1d56f00eedf,94,12,12.77
db2956745b3a8e9f3785c99f34b5d25e,47,6,12.77
440dd6ab244315c632130ecfb63827b1,94,12,12.77
391fc6631aebcf3004804e51b40bcf1e,526,67,12.74
5058e8c1e82653974541e83690655b4a,63,8,12.7
d673a59aac7a70d8b01e6902bf090a11,79,10,12.66
7e1fb0a3ebfb01ffb3a7dae98bf3238d,159,20,12.58
4869f7a5dfa277a7dca6462dcf3b52b2,1132,142,12.54
6481e96574816ead57975da2c0f6d80d,32,4,12.5
7d76b645482be4a332374e8223836592,176,22,12.5
1ce3ae5a399804d1a87e706f8a813c3e,40,5,12.5
f62d7bb4a613ec758a03342d46b580b2,32,4,12.5
5c6d4016c2a288f074fa0848a2b653d2,32,4,12.5
4e922959ae960d389249c378d1c939f5,420,52,12.38
e9d99831abad74458942f21e16f33f92,130,16,12.31
897060da8b9a21f655304d50fd935913,317,39,12.3
4992e76a42cb3aad7a7047e0d3d7e729,57,7,12.28
cfb1a033743668a192316f3c6d1d2671,147,18,12.24
138dbe45fc62f1e244378131a6801526,49,6,12.24
ececbfcff9804a2d6b40f589df8eef2b,98,12,12.24
16090f2ca825584b5a147ab24aa30c86,402,49,12.19
b1fc4f64df5a0e8b6913ab38803c57a9,107,13,12.15
1caf283236cd69af44cbc09a0a1e7d32,33,4,12.12
b4a476fbd28de64b1e347abf9089366a,33,4,12.12
70a12e78e608ac31179aea7f8422044b,315,38,12.06
f46490624488d3ff7ce78613913a7711,83,10,12.05
4a3ca9315b744ce9f8e9374361493884,1806,217,12.02
165fc07beebdcb6190fba8a06db2a449,50,6,12.0
f262cbc1c910c83959f849465454ddd3,192,23,11.98
7e3f87d16fb353f408d467e74fbd8014,92,11,11.96
a420f60ff1aa9acc80d0e42959f2b313,67,8,11.94
82e0a475a88cc9595229d8029273f045,42,5,11.9
00ee68308b45bc5e2660cd833c3f81cc,135,16,11.85
516e7738bd8f735ac19a010ee5450d8d,76,9,11.84
d5ba419e26d246a0719437cf37d9b46d,34,4,11.76
0d85bbda9889ce1f7e63778d24f346eb,51,6,11.76
f0b47fbbc6dee9aafe415a6e33051b3f,68,8,11.76
d3f39f05462b79a4562d35893a28f159,34,4,11.76
3db66a856d18a9cba7c9241fc5221c50,94,11,11.7
8b321bb669392f5163d04c59e235e066,943,110,11.66
a673821011d0cec28146ea42f5ab767f,129,15,11.63
8648b1e89e9b349e32d3741b30ec737e,95,11,11.58
e5a38146df062edaf55c38afa99e42dc,121,14,11.57
fe2032dab1a61af8794248c8196565c9,294,34,11.56
a3e9a2c700480d9bb01fba070ba80a0e,130,15,11.54
34056b8b55c1775a22af2331670a799c,78,9,11.54
522620dcb18a6b31cd7bdf73665113a9,174,20,11.49
c3867b4666c7d76867627c2f7fb22e21,245,28,11.43
11305281b50fff20ae8bb473f8e11876,35,4,11.43
e59aa562b9f8076dd550fcddf0e73491,70,8,11.43
f7ccf836d21b2fb1de37564105216cc1,70,8,11.43
6fc26fe110feebd80a433e1f012a84f9,35,4,11.43
37515688008a7a40ac93e3b2e4ab203f,228,26,11.4
1e8b33f18b4f7598d87f5cbee2282cc2,123,14,11.38
1025f0e2d44d7041d6cf58b6550e0bfa,915,104,11.37
7202e2ba20579a9bd1acb29e61fe71f6,53,6,11.32
8e6cc767478edae941d9bd9eb778d77a,106,12,11.32
23d7c96d4a1160db1c726b248601b25a,53,6,11.32
1f50f920176fa81dab994f9023523100,1404,158,11.25
9d4db00d65d7760644ac0c14edb5fd86,98,11,11.22
6b90f847357d8981edd79a1eb1bf0acb,45,5,11.11
f84a00e60c73a49e7e851c9bdca3a5bb,90,10,11.11
f181738b150df1f37cb0bd72e705b193,36,4,11.11
bf84056e679dbe9c69929847a40e338f,36,4,11.11
c9c7905cffc4ef9ff9f113554423e671,127,14,11.02
6a8b085f816a1f75f92dbac6eb545f8f,127,14,11.02
54a1852d1b8f10312c55e906355666ee,200,22,11.0
98dac6635aee4995d501a3972e047414,91,10,10.99
2a84855fd20af891be03bc5924d2b453,164,18,10.98
382229d1e840115ffe3dbf5ff460e417,46,5,10.87
edb1ef5e36e0c8cd84eb3c9b003e486d,166,18,10.84
b14db04aa7881970e83ffa9426897925,83,9,10.84
972d0f9cf61b499a4812cf0bfa3ad3c4,83,9,10.84
620c87c171fb2a6dd6e8bb4dec959fc6,740,80,10.81
6860153b69cc696d5dcfe1cdaaafcf62,74,8,10.81
08633c14ef2db992c11f840f04fad4cd,74,8,10.81
8e8a7ce9f2f970dc00e2acf6f6e199f6,65,7,10.77
d566c37fa119d5e66c4e9052e83ee4ea,65,7,10.77
fa1c13f2614d7b5c4749cbc52fecda94,585,63,10.77
ce248b21cb2adc36282ede306b7660e5,65,7,10.77
f27e33c6d29b5138fa9967bcd445b6d5,93,10,10.75
c70c1b0d8ca86052f45a432a38b73958,261,28,10.73
c8b0e2b0a7095e5d8219575d5e7e1181,84,9,10.71
8a130737016f838139d31878787a39c9,56,6,10.71
d1c281d3ae149232351cd8c8cc885f0d,215,23,10.7
76d5af76d0271110f9af36c92573f765,131,14,10.69
e9bc59e7b60fc3063eb2290deda4cced,216,23,10.65
99eaacc9e6046db1c82b163c5f84869f,66,7,10.61
8581055ce74af1daba164fdbd55a40de,387,41,10.59
42b729f859728f5079499127a9c2ef37,104,11,10.58
5b8154610ebb21fb90eb587365e673df,38,4,10.53
1900267e848ceeba8fa32d80c1a5f5a8,411,43,10.46
634964b17796e64304cadf1ad3050fb7,268,28,10.45
c826c40d7b19f62a09e2d7c5e7295ee2,354,37,10.45
70c27847eca8195c983ed7e798c56743,77,8,10.39
de23c3b98a88888289c6f5cc1209054a,164,17,10.37
4c2b230173bb36f9b240f2b8ac11786e,261,27,10.34
bd0389da23d89b726abf911cccc54596,87,9,10.34
213b25e6f54661939f11710a6fddb871,155,16,10.32
d05ae8f7a5bd1d2a690a44cd079e4e27,78,8,10.26
ce7d1888639e6fb06b2749cbfdac1ff7,78,8,10.26
9c0e69c7bf2619675bbadf47b43f655a,157,16,10.19
7c67e1448b00f6e969d365cea6b010ab,982,100,10.18
955fee9216a65b617aa5c0531780ce60,1287,130,10.1
da8622b14eb17ae2831f4ac5b9dab84a,1314,132,10.05
b56906f7fd1696e043f1bcce164c487b,40,4,10.0
b2ac621f0d0322434d04a12b078b9369,30,3,10.0
2bf6a2c1e71bbd29a4ad64e6d3c3629f,30,3,10.0
daeb5653dd96c1b11860f72209795012,40,4,10.0
709e16e2b25c7474d980076c6bfc4806,60,6,10.0
f7720c4fa8e3aba4546301ab80ea1f1b,60,6,10.0
827f8f69dfa529c561901c4f2e0f332f,91,9,9.89
7ddcbb64b5bc1ef36ca8c151f6ec77df,334,33,9.88
