feature,abs_coefficient
feature_584,0.006250421464680603
feature_215,0.005173971229060542
feature_252,0.004634272201631998
feature_456,0.004599098200996458
feature_321,0.004374840016148689
feature_187,0.004255086057359359
feature_459,0.004037991606583545
feature_012,0.003870491013872465
feature_539,0.003605413262013322
feature_288,0.00341182306215103
feature_553,0.002666855004263328
feature_567,0.0025689101092710043
feature_390,0.0008148189602061027
feature_377,0.0005890497363516921
feature_294,7.413906835498125e-05
feature_313,0.0
feature_284,0.0
feature_414,0.0
feature_400,0.0
feature_326,0.0
feature_329,0.0
feature_330,0.0
feature_369,0.0
feature_372,0.0
feature_373,0.0
feature_374,0.0
feature_370,0.0
feature_375,0.0
feature_378,0.0
feature_380,0.0
feature_379,0.0
feature_381,0.0
feature_315,0.0
feature_322,0.0
feature_325,0.0
feature_013,0.0
feature_371,0.0
feature_042,0.0
feature_364,0.0
feature_402,0.0
feature_401,0.0
feature_404,0.0
feature_403,0.0
feature_399,0.0
feature_327,0.0
feature_328,0.0
feature_394,0.0
feature_395,0.0
feature_396,0.0
feature_397,0.0
feature_398,0.0
feature_231,0.0
feature_230,0.0
feature_229,0.0
feature_226,0.0
feature_449,0.0
feature_276,0.0
feature_260,0.0
feature_262,0.0
feature_266,0.0
feature_265,0.0
feature_264,0.0
feature_263,0.0
feature_261,0.0
feature_256,0.0
feature_258,0.0
feature_257,0.0
feature_190,0.0
feature_189,0.0
feature_186,0.0
feature_481,0.0
feature_464,0.0
feature_463,0.0
feature_466,0.0
feature_465,0.0
feature_462,0.0
feature_461,0.0
feature_237,0.0
feature_242,0.0
feature_451,0.0
feature_450,0.0
feature_243,0.0
feature_458,0.0
feature_235,0.0
feature_234,0.0
feature_233,0.0
feature_236,0.0
feature_232,0.0
feature_241,0.0
feature_240,0.0
feature_259,0.0
feature_314,0.0
feature_422,0.0
feature_498,0.0
feature_179,0.0
feature_191,0.0
feature_192,0.0
feature_193,0.0
feature_194,0.0
feature_509,0.0
feature_512,0.0
feature_513,0.0
feature_514,0.0
feature_505,0.0
feature_506,0.0
feature_507,0.0
feature_508,0.0
feature_504,0.0
feature_503,0.0
feature_502,0.0
feature_501,0.0
feature_149,0.0
feature_178,0.0
feature_097,0.0
feature_141,0.0
feature_528,0.0
feature_515,0.0
feature_052,0.0
feature_069,0.0
feature_049,0.0
feature_529,0.0
feature_531,0.0
feature_530,0.0
feature_536,0.0
feature_535,0.0
feature_534,0.0
feature_533,0.0
feature_532,0.0
feature_538,0.0
feature_537,0.0
feature_005,0.0
