feature,abs_coefficient
feature_056,0.7448369804760507
feature_059,0.6362216387112661
feature_132,0.5312465549312365
feature_102,0.5054111184866505
feature_020,0.49758827521304405
feature_129,0.49340222895540264
feature_131,0.4122853367489149
feature_028,0.40300313448588687
feature_216,0.40239789671324333
feature_071,0.4014553792324395
feature_423,0.4006599251467132
feature_041,0.3979458638406111
feature_205,0.37751011594357364
feature_473,0.3770497652818171
feature_155,0.36380221979796024
feature_031,0.36332908779245254
feature_060,0.35166995092789577
feature_033,0.3501610093553063
feature_488,0.3477607346463795
feature_485,0.34675666482724293
feature_425,0.3395651644191333
feature_511,0.3353118048445497
feature_064,0.32855719735812416
feature_090,0.3255550126622918
feature_428,0.3186398023674377
feature_460,0.3180969078125778
feature_014,0.31043917209622535
feature_368,0.305028274868785
feature_365,0.2919017765538561
feature_121,0.2895195485380375
feature_022,0.2886924322631017
feature_341,0.27982932688125944
feature_484,0.27862287235562655
feature_062,0.2770447439241643
feature_122,0.276165172093733
feature_145,0.2740404292710402
feature_113,0.2735481497674082
feature_563,0.2721416427657238
feature_054,0.2626880688074121
feature_471,0.26241766977359576
feature_416,0.2603547810747832
feature_367,0.2592139187046641
feature_118,0.25645461210257114
feature_319,0.2546218599868762
feature_143,0.2539238348491166
feature_164,0.25285698103483467
feature_040,0.250981189511827
feature_348,0.24992200883524704
feature_200,0.24768544788116847
feature_477,0.2452642511115892
feature_032,0.2452369420542679
feature_053,0.2449693588158007
feature_445,0.24293999563759802
feature_448,0.2425793594010515
feature_177,0.24135928877389787
feature_174,0.24062735013670272
feature_172,0.2399550916863114
feature_000,0.2391995121321572
feature_201,0.23898201201863023
feature_582,0.23778809913217572
feature_027,0.2366594387152759
feature_443,0.2361174705075678
feature_486,0.23318162911805965
feature_547,0.23098770484399286
feature_510,0.2308776968486309
feature_455,0.2271114432172249
feature_316,0.22700376794323757
feature_543,0.2269280678834292
feature_280,0.22574931001399348
feature_268,0.22572301602130967
feature_545,0.22527992188186213
feature_540,0.22453802292915526
feature_086,0.22453404558809936
feature_047,0.2231898144383529
feature_025,0.221701317341688
feature_439,0.22048278657777193
feature_183,0.22040065111261956
feature_418,0.21908241702371872
feature_249,0.21722355324464024
feature_437,0.2156314868446154
feature_214,0.21502387465665684
feature_332,0.21479871031135708
feature_169,0.21453694295901526
feature_077,0.214183832589844
feature_387,0.21354155941097808
feature_080,0.21153487489651118
feature_361,0.21066560298999115
feature_568,0.20998332113513432
feature_101,0.20638077112435452
feature_337,0.20631050383325117
feature_067,0.20344140786402534
feature_564,0.20336428374070734
feature_476,0.20205206511262458
feature_415,0.20182271673117524
feature_308,0.19858796150793648
feature_349,0.19590134232227455
feature_130,0.19319549795463323
feature_119,0.19276223191185315
feature_138,0.1910410492583709
feature_411,0.19091676027640753
feature_312,0.18940272469805775
feature_075,0.18923711967124515
feature_084,0.18894643028928312
feature_068,0.18166442825739573
feature_066,0.18066109479837164
feature_548,0.1800982765017672
feature_168,0.17987929139611494
feature_542,0.17812425913109492
feature_099,0.1771355857212054
feature_489,0.1770326778912424
feature_142,0.17632064107730583
feature_299,0.17630784670866706
feature_104,0.17353771135013277
feature_340,0.17184284423982557
feature_571,0.1717758604750294
feature_295,0.17166230061219623
feature_440,0.17145970240897696
feature_388,0.1707295428721417
feature_419,0.17035485380771012
