item_category,total_users,total_events,view_item_users,add_to_cart_users,begin_checkout_users,purchase_users,view_item_events,add_to_cart_events,begin_checkout_events,purchase_events,view_to_cart_rate,view_to_purchase_rate
Home/Shop by Brand/Google/,2959,135570,2959,699,0,0,109901,25669,0,0,0.2362284555593105,0.0
Home/Apparel/Women's/,3803,184676,3803,1045,0,0,148675,36001,0,0,0.2747830660005258,0.0
Home/Stationery/Writing/,889,35451,889,362,0,0,24868,10583,0,0,0.4071991001124859,0.0
Sale,6531,34711,6531,1999,0,0,26902,7809,0,0,0.3060787015770938,0.0
Home/Eco-Friendly/,3448,98321,3448,704,0,0,82741,15580,0,0,0.2041763341067285,0.0
Home/Stationery/Notebooks/,1820,63452,1820,555,0,0,50735,12717,0,0,0.3049450549450549,0.0
Home/Shop by Brand/Android/,814,25653,814,189,0,0,20866,4787,0,0,0.2321867321867321,0.0
Home/Shop by Brand/,773,27497,773,177,0,0,21823,5674,0,0,0.2289780077619663,0.0
Writing,392,909,392,138,0,0,656,253,0,0,0.3520408163265306,0.0
Eco-Friendly,2061,4825,2061,388,0,0,4079,746,0,0,0.1882581271227559,0.0
Accessories/,104,2201,104,3,0,0,2153,48,0,0,0.0288461538461538,0.0
Women's,2818,10562,2818,766,0,0,8387,2175,0,0,0.2718239886444286,0.0
Men's T-Shirts,364,711,364,47,0,0,630,81,0,0,0.1291208791208791,0.0
Kids,1090,3131,1090,215,0,0,2593,538,0,0,0.1972477064220183,0.0
Notebooks,697,1487,697,167,0,0,1241,246,0,0,0.2395982783357245,0.0
Home/Shop by Brand/Google Cloud/,213,684,213,25,0,0,605,79,0,0,0.1173708920187793,0.0
Hats,91,126,91,5,0,0,121,5,0,0,0.0549450549450549,0.0
Android,386,980,386,83,0,0,814,166,0,0,0.2150259067357512,0.0
Home/Black Lives Matter/,20,30,20,2,0,0,26,4,0,0,0.1,0.0
Office/,88,2626,88,8,0,0,2290,336,0,0,0.0909090909090909,0.0
Fun/,9,164,9,0,0,0,164,0,0,0,0.0,0.0
Water Bottles/,157,3259,157,15,0,0,3081,178,0,0,0.0955414012738853,0.0
Home/Gift Cards/,27,395,27,8,0,0,220,175,0,0,0.2962962962962962,0.0
Shopping and Totes/,36,666,36,3,0,0,622,44,0,0,0.0833333333333333,0.0
Electronics/,3,30,3,0,0,0,30,0,0,0,0.0,0.0
Kid's-Infant/,42,306,42,13,0,0,240,66,0,0,0.3095238095238095,0.0
Men's Warm Gear/,5,107,5,1,0,0,95,12,0,0,0.2,0.0
Women's T-Shirts/,28,649,28,4,0,0,591,58,0,0,0.1428571428571428,0.0
Water Bottles,5,8,5,0,0,0,8,0,0,0,0.0,0.0
More Bags/,9,144,9,1,0,0,132,12,0,0,0.1111111111111111,0.0
YouTube,26,37,26,0,0,0,37,0,0,0,0.0,0.0
Women's T-Shirts,4,11,4,1,0,0,9,2,0,0,0.25,0.0
Kids-Youth/,7,61,7,0,0,0,61,0,0,0,0.0,0.0
Clearance-Accessories/,8,18,8,0,0,0,18,0,0,0,0.0,0.0
Women's Warm Gear/,1,12,1,0,0,0,12,0,0,0,0.0,0.0
Miscellaneous/,1,6,1,0,0,0,6,0,0,0,0.0,0.0
New-Accessories/,1,12,1,0,0,0,12,0,0,0,0.0,0.0
Electronics/Electronic Accessories/,1,9,1,0,0,0,9,0,0,0,0.0,0.0
Men's Warm Gear,1,1,1,0,0,0,1,0,0,0,0.0,0.0
Kid's-Toddler/,3,14,3,0,0,0,14,0,0,0,0.0,0.0
,5153,13946,4638,832,1047,206,8594,1825,3297,230,0.179387667097887,0.044415696420871
Small Goods,2860,9190,2782,607,169,158,6837,1338,839,176,0.2181883537023723,0.0567936736161035
Google,2637,11762,2361,568,302,225,8047,1907,1529,279,0.2405760271071579,0.0952986022871664
Stationery,1243,4795,1049,289,209,188,2479,686,1325,305,0.2755004766444232,0.1792183031458531
Drinkware,3077,13698,2819,886,558,532,7809,2125,3055,709,0.3142958495920539,0.1887194040439872
Bags,2895,11164,2428,325,704,498,5433,540,4487,704,0.1338550247116968,0.2051070840197693
Lifestyle,2408,10204,1855,399,533,450,5559,1011,3035,599,0.2150943396226415,0.2425876010781671
Campus Collection,1968,13238,1336,428,801,737,3685,1418,6638,1497,0.3203592814371257,0.5516467065868264
New,2613,11930,1432,285,1160,907,2448,513,7524,1445,0.199022346368715,0.6333798882681563
Apparel,6090,35147,2911,624,3096,2430,7426,1711,21026,4984,0.2143593266918584,0.8347646856750258
Shop by Brand,1348,7008,422,119,856,629,1160,357,4675,816,0.2819905213270142,1.490521327014218
Fun,49,161,3,0,26,36,4,0,116,41,0.0,12.0
Office,831,5026,32,4,672,544,54,12,4122,838,0.125,17.0
Accessories,1140,7598,35,0,941,775,57,0,6265,1276,0.0,22.142857142857142
(not set),733,2534,9,135,547,397,9,144,1933,448,15.0,44.11111111111112
